message_id,channel_name,image_path,detected_class,confidence_score,image_category
10,CheMed,data\raw\images\CheMed\10.jpg,none,0.0,other
11,CheMed,data\raw\images\CheMed\11.jpg,clock,0.4273,other
13,CheMed,data\raw\images\CheMed\13.jpg,hot dog,0.5039,other
13,CheMed,data\raw\images\CheMed\13.jpg,donut,0.399,other
13,CheMed,data\raw\images\CheMed\13.jpg,hot dog,0.3097,other
13,CheMed,data\raw\images\CheMed\13.jpg,donut,0.2969,other
13,CheMed,data\raw\images\CheMed\13.jpg,hot dog,0.2637,other
13,CheMed,data\raw\images\CheMed\13.jpg,hot dog,0.2502,other
14,CheMed,data\raw\images\CheMed\14.jpg,none,0.0,other
15,CheMed,data\raw\images\CheMed\15.jpg,none,0.0,other
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.526,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.4945,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.4318,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.3874,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.385,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.3799,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.3749,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.3264,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.2849,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.2793,product_display
17,CheMed,data\raw\images\CheMed\17.jpg,bottle,0.2719,product_display
18,CheMed,data\raw\images\CheMed\18.jpg,none,0.0,other
19,CheMed,data\raw\images\CheMed\19.jpg,person,0.9401,lifestyle
19,CheMed,data\raw\images\CheMed\19.jpg,person,0.9277,lifestyle
19,CheMed,data\raw\images\CheMed\19.jpg,dining table,0.3616,lifestyle
19,CheMed,data\raw\images\CheMed\19.jpg,dining table,0.3222,lifestyle
2,CheMed,data\raw\images\CheMed\2.jpg,bottle,0.3872,product_display
20,CheMed,data\raw\images\CheMed\20.jpg,person,0.9401,lifestyle
20,CheMed,data\raw\images\CheMed\20.jpg,person,0.9277,lifestyle
20,CheMed,data\raw\images\CheMed\20.jpg,dining table,0.3616,lifestyle
20,CheMed,data\raw\images\CheMed\20.jpg,dining table,0.3222,lifestyle
21,CheMed,data\raw\images\CheMed\21.jpg,bird,0.2526,other
22,CheMed,data\raw\images\CheMed\22.jpg,stop sign,0.2775,other
23,CheMed,data\raw\images\CheMed\23.jpg,cell phone,0.6107,product_display
25,CheMed,data\raw\images\CheMed\25.jpg,cell phone,0.8613,promotional
25,CheMed,data\raw\images\CheMed\25.jpg,person,0.6284,promotional
26,CheMed,data\raw\images\CheMed\26.jpg,person,0.8276,promotional
26,CheMed,data\raw\images\CheMed\26.jpg,cup,0.4267,promotional
26,CheMed,data\raw\images\CheMed\26.jpg,book,0.3177,promotional
26,CheMed,data\raw\images\CheMed\26.jpg,book,0.3131,promotional
27,CheMed,data\raw\images\CheMed\27.jpg,none,0.0,other
29,CheMed,data\raw\images\CheMed\29.jpg,person,0.6185,lifestyle
29,CheMed,data\raw\images\CheMed\29.jpg,surfboard,0.5945,lifestyle
29,CheMed,data\raw\images\CheMed\29.jpg,person,0.528,lifestyle
29,CheMed,data\raw\images\CheMed\29.jpg,person,0.2782,lifestyle
3,CheMed,data\raw\images\CheMed\3.jpg,none,0.0,other
30,CheMed,data\raw\images\CheMed\30.jpg,person,0.4139,lifestyle
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.5125,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.4973,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.435,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.3881,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.388,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.3832,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.3769,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.3328,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.2786,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.2762,product_display
31,CheMed,data\raw\images\CheMed\31.jpg,bottle,0.2743,product_display
32,CheMed,data\raw\images\CheMed\32.jpg,person,0.5882,lifestyle
33,CheMed,data\raw\images\CheMed\33.jpg,orange,0.6712,product_display
33,CheMed,data\raw\images\CheMed\33.jpg,orange,0.5761,product_display
33,CheMed,data\raw\images\CheMed\33.jpg,book,0.2716,product_display
34,CheMed,data\raw\images\CheMed\34.jpg,none,0.0,other
38,CheMed,data\raw\images\CheMed\38.jpg,none,0.0,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.9114,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.9019,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.893,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.6238,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.594,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.5547,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.5261,other
39,CheMed,data\raw\images\CheMed\39.jpg,mouse,0.4145,other
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.7191,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.6744,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.6338,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.5978,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.5868,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.5126,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.4521,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.437,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.3316,lifestyle
40,CheMed,data\raw\images\CheMed\40.jpg,person,0.3313,lifestyle
41,CheMed,data\raw\images\CheMed\41.jpg,person,0.421,lifestyle
43,CheMed,data\raw\images\CheMed\43.jpg,person,0.8565,lifestyle
43,CheMed,data\raw\images\CheMed\43.jpg,chair,0.2936,lifestyle
44,CheMed,data\raw\images\CheMed\44.jpg,cell phone,0.9387,promotional
44,CheMed,data\raw\images\CheMed\44.jpg,person,0.848,promotional
45,CheMed,data\raw\images\CheMed\45.jpg,scissors,0.632,other
46,CheMed,data\raw\images\CheMed\46.jpg,person,0.8272,lifestyle
46,CheMed,data\raw\images\CheMed\46.jpg,person,0.4749,lifestyle
46,CheMed,data\raw\images\CheMed\46.jpg,tv,0.3886,lifestyle
48,CheMed,data\raw\images\CheMed\48.jpg,none,0.0,other
49,CheMed,data\raw\images\CheMed\49.jpg,kite,0.6802,other
49,CheMed,data\raw\images\CheMed\49.jpg,kite,0.4033,other
49,CheMed,data\raw\images\CheMed\49.jpg,kite,0.3449,other
49,CheMed,data\raw\images\CheMed\49.jpg,frisbee,0.3252,other
50,CheMed,data\raw\images\CheMed\50.jpg,cake,0.2916,other
52,CheMed,data\raw\images\CheMed\52.jpg,person,0.7039,lifestyle
52,CheMed,data\raw\images\CheMed\52.jpg,person,0.6461,lifestyle
52,CheMed,data\raw\images\CheMed\52.jpg,horse,0.6253,lifestyle
52,CheMed,data\raw\images\CheMed\52.jpg,person,0.5131,lifestyle
52,CheMed,data\raw\images\CheMed\52.jpg,person,0.431,lifestyle
52,CheMed,data\raw\images\CheMed\52.jpg,person,0.3348,lifestyle
53,CheMed,data\raw\images\CheMed\53.jpg,person,0.5738,lifestyle
55,CheMed,data\raw\images\CheMed\55.jpg,stop sign,0.3071,other
56,CheMed,data\raw\images\CheMed\56.jpg,person,0.833,lifestyle
58,CheMed,data\raw\images\CheMed\58.jpg,bottle,0.4115,product_display
59,CheMed,data\raw\images\CheMed\59.jpg,bottle,0.2866,product_display
60,CheMed,data\raw\images\CheMed\60.jpg,none,0.0,other
64,CheMed,data\raw\images\CheMed\64.jpg,person,0.6865,lifestyle
64,CheMed,data\raw\images\CheMed\64.jpg,person,0.4402,lifestyle
64,CheMed,data\raw\images\CheMed\64.jpg,banana,0.2809,lifestyle
64,CheMed,data\raw\images\CheMed\64.jpg,remote,0.2562,lifestyle
67,CheMed,data\raw\images\CheMed\67.jpg,stop sign,0.5792,product_display
67,CheMed,data\raw\images\CheMed\67.jpg,book,0.2842,product_display
70,CheMed,data\raw\images\CheMed\70.jpg,potted plant,0.9247,promotional
70,CheMed,data\raw\images\CheMed\70.jpg,person,0.8443,promotional
70,CheMed,data\raw\images\CheMed\70.jpg,book,0.4226,promotional
71,CheMed,data\raw\images\CheMed\71.jpg,person,0.8836,lifestyle
71,CheMed,data\raw\images\CheMed\71.jpg,person,0.8043,lifestyle
74,CheMed,data\raw\images\CheMed\74.jpg,none,0.0,other
75,CheMed,data\raw\images\CheMed\75.jpg,person,0.8353,lifestyle
76,CheMed,data\raw\images\CheMed\76.jpg,person,0.8694,lifestyle
76,CheMed,data\raw\images\CheMed\76.jpg,chair,0.2723,lifestyle
76,CheMed,data\raw\images\CheMed\76.jpg,chair,0.2518,lifestyle
77,CheMed,data\raw\images\CheMed\77.jpg,bottle,0.9558,product_display
77,CheMed,data\raw\images\CheMed\77.jpg,bottle,0.9073,product_display
77,CheMed,data\raw\images\CheMed\77.jpg,bottle,0.8961,product_display
77,CheMed,data\raw\images\CheMed\77.jpg,bottle,0.8937,product_display
78,CheMed,data\raw\images\CheMed\78.jpg,person,0.7699,lifestyle
78,CheMed,data\raw\images\CheMed\78.jpg,person,0.3556,lifestyle
